Start (s),End (s),Scientific name,Common name,Confidence,File
438.0,441.0,Turdus pilaris,Fieldfare,0.8836,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
441.0,444.0,Turdus pilaris,Fieldfare,0.8039,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
444.0,447.0,Turdus pilaris,Fieldfare,0.6635,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
447.0,450.0,Turdus pilaris,Fieldfare,0.8122,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
450.0,453.0,Turdus pilaris,Fieldfare,0.9451,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
453.0,456.0,Turdus pilaris,Fieldfare,0.7877,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
456.0,459.0,Turdus pilaris,Fieldfare,0.5358,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
459.0,462.0,Turdus pilaris,Fieldfare,0.2462,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
462.0,465.0,Turdus pilaris,Fieldfare,0.2631,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
465.0,468.0,Turdus pilaris,Fieldfare,0.6397,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
468.0,471.0,Turdus pilaris,Fieldfare,0.5555,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
474.0,477.0,Turdus pilaris,Fieldfare,0.4576,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
477.0,480.0,Turdus pilaris,Fieldfare,0.9621,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
480.0,483.0,Turdus pilaris,Fieldfare,0.7167,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
483.0,486.0,Turdus pilaris,Fieldfare,0.9308,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
486.0,489.0,Turdus pilaris,Fieldfare,0.2272,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
